Num,indic,lats,lons,year,month,day,land
1,1,3,165,1991,3,18,0
2,1,5,152.1,1991,5,4,0
3,1,11.4,127,1991,6,12,0
4,1,6.2,138.2,1991,7,6,0
5,1,11.2,145.7,1991,7,13,0
6,1,6,152,1991,7,15,0
7,1,5.4,155.7,1991,7,18,0
8,1,19.6,160.4,1991,8,8,0
9,1,10.4,131.9,1991,8,8,0
10,1,18.3,157.9,1991,8,13,0
11,1,5.8,168.2,1991,8,31,0
12,1,11.1,139.3,1991,9,8,0
13,1,12.4,170.9,1991,9,13,0
14,1,19.8,123.4,1991,9,15,0
15,1,14.7,149,1991,10,1,0
16,1,8.3,163.8,1991,10,1,0
17,1,6,155,1991,10,16,0
18,1,8,172.2,1991,10,28,0
19,1,5.6,170.7,1991,11,16,0
20,1,4.2,179.2,1991,11,25,0
21,1,3.2,176.9,1992,1,3,0
22,1,7.7,142.7,1992,6,20,0
23,1,13,125.2,1992,6,22,0
24,1,7.6,154.5,1992,7,6,0
25,1,12.3,134.8,1992,7,16,0
26,1,20.6,134.9,1992,7,30,0
27,1,5,154.1,1992,7,30,0
28,1,6.2,179.2,1992,8,3,0
29,1,6.7,172.3,1992,8,20,0
30,1,13.4,164.5,1992,8,29,0
31,1,19.3,166.1,1992,9,4,0
32,1,11.2,157.3,1992,9,14,0
33,1,11.3,168,1992,9,24,0
34,1,16,139.5,1992,10,3,0
35,1,11.5,114.8,1992,10,12,0
36,1,9,170.1,1992,10,14,0
37,1,8.2,134.7,1992,10,15,0
38,1,9.8,174,1992,10,23,0
39,1,5.9,150.5,1992,10,27,0
40,1,8.2,139.2,1992,11,8,0
41,1,6.1,178.7,1992,11,13,0
42,1,11.3,159.3,1992,11,13,0
43,1,4,159.6,1993,6,13,0
44,1,8.8,136,1993,7,4,0
45,1,10.2,155.2,1993,7,17,0
46,1,19.1,130.2,1993,7,26,0
47,1,6.7,160.5,1993,7,30,0
48,1,8.4,154.3,1993,8,3,0
49,1,7.2,151.3,1993,8,12,0
50,1,10.6,158.6,1993,8,17,0
51,1,17.7,141.4,1993,8,27,0
52,1,17.6,119.4,1993,9,7,0
53,1,6.4,147.7,1993,9,10,0
54,1,11.4,166.2,1993,9,20,0
55,1,11.8,129.7,1993,9,18,0
56,1,7.9,152.1,1993,9,27,0
57,1,14,133.5,1993,9,28,0
58,1,11.1,152.7,1993,10,25,0
59,1,8.8,136.2,1993,11,17,0
60,1,5.1,170.2,1993,11,27,0
61,1,5,162.4,1993,12,1,0
62,1,4.7,157.9,1993,12,19,0
63,1,8.9,146.5,1994,3,29,0
64,1,4.2,154.3,1994,5,8,0
65,1,9.5,137.9,1994,7,5,0
66,1,5.7,137.6,1994,7,11,0
67,1,8,140,1994,7,10,0
68,1,12.3,151.1,1994,7,30,0
69,1,30.1,148.5,1994,8,3,0
70,1,19.8,151,1994,8,12,0
71,1,13,156.8,1994,8,19,0
72,1,24.1,166.4,1994,8,25,0
73,1,7.9,149.8,1994,9,1,0
74,1,9.9,178.5,1994,9,8,0
75,1,12,129.5,1994,9,16,0
76,1,17.1,169.8,1994,9,19,0
77,1,7.6,173.9,1994,9,30,0
78,1,7.9,174.7,1994,10,13,0
79,1,14.3,155.2,1994,10,14,0
80,1,12.5,169,1994,10,18,0
81,1,24.1,161.4,1994,10,25,0
82,1,6,163.5,1994,12,11,0
83,1,6,154.5,1995,7,12,0
84,1,18.5,120,1995,7,27,0
85,1,12.2,144.6,1995,8,3,0
86,1,9.8,133.1,1995,8,24,0
87,1,15.8,114.8,1995,8,21,0
88,1,24.1,151,1995,8,28,0
89,1,8.9,160,1995,9,7,0
90,1,8.4,140.8,1995,9,9,0
91,1,13.7,114.7,1995,9,14,0
92,1,6,172,1995,9,21,0
93,1,6.8,139.3,1995,10,3,0
94,1,9.3,162.3,1995,10,14,0
95,1,7.8,148.7,1995,10,18,0
96,1,5,161.6,1995,10,21,0
97,1,5,175.1,1995,10,20,0
98,1,6.8,138,1996,5,7,0
99,1,18.9,154.9,1996,7,3,0
100,1,19.2,151,1996,7,10,0
101,1,16.6,115.2,1996,7,19,0
102,1,7.6,136.6,1996,7,19,0
103,1,12.5,151.9,1996,7,21,0
104,1,19.5,164.6,1996,7,25,0
105,1,5.5,155.3,1996,7,28,0
106,1,7.5,154.3,1996,8,13,0
107,1,14.8,175.4,1996,8,14,0
108,1,21.2,168.1,1996,8,19,0
109,1,8.5,146.7,1996,9,2,0
110,1,10.9,161.3,1996,9,8,0
111,1,14.1,137,1996,9,10,0
112,1,18.5,107.5,1996,9,16,0
113,1,8.1,176.9,1996,9,17,0
114,1,5.7,152.7,1996,9,21,0
115,1,11,161.1,1996,10,7,0
116,1,16.2,167.3,1996,10,17,0
117,1,9.1,153.7,1996,11,2,0
118,1,5.4,150.8,1996,12,17,0
119,1,6.6,154.4,1997,4,9,0
120,1,9.3,161.2,1997,5,25,0
121,1,5.9,170.3,1997,6,1,0
122,1,12.1,138,1997,6,13,0
123,1,5.7,161.4,1997,6,15,0
124,1,8,142.1,1997,7,15,0
125,1,4.9,151.5,1997,7,21,0
126,1,15,119,1997,7,28,0
127,1,5.7,167.7,1997,8,5,0
128,1,3.1,178,1997,8,9,0
129,1,17.5,115.5,1997,8,19,0
130,1,14,135.5,1997,8,19,0
131,1,10,171.8,1997,8,24,0
132,1,10,170.5,1997,9,9,0
133,1,13.3,114.3,1997,9,17,0
134,1,10.3,174.4,1997,9,21,0
135,1,7,175,1997,10,9,0
136,1,4.3,177,1997,10,11,0
137,1,6.5,175.2,1997,10,22,0
138,1,6.3,139.1,1997,10,25,0
139,1,10.2,149.8,1997,11,7,0
140,1,11.8,167.1,1997,8,28,0
141,1,5.9,166.1,1997,11,29,0
142,1,14.3,127.7,1998,8,1,0
143,1,16.7,129.4,1998,8,22,0
144,1,16.9,149.1,1998,9,10,0
145,1,19.6,127.3,1998,9,15,0
146,1,17.1,118.2,1998,9,16,0
147,1,13.7,133.5,1998,9,24,0
148,1,11,149.8,1998,10,8,0
149,1,12.5,148.3,1998,10,12,0
150,1,6.3,139.9,1998,12,8,0
151,1,8.1,125.6,1999,4,21,1
152,1,14.5,114,1999,4,26,0
153,1,9.6,131.8,1999,5,30,0
154,1,5.9,138.5,1999,7,27,0
155,1,11.4,128.9,1999,8,18,0
156,1,29.5,180,1999,8,19,0
157,1,26.9,139.7,1999,8,23,0
158,1,16.4,124.1,1999,9,10,0
159,1,20.2,130,1999,9,17,0
160,1,16.3,134.4,1999,10,1,0
161,1,12.6,126.7,1999,11,10,0
162,1,7.3,135.4,2000,5,4,0
163,1,13.6,133,2000,7,2,0
164,1,15.9,119,2000,7,3,0
165,1,22,154.3,2000,7,31,0
166,1,14.1,142,2000,8,9,0
167,1,8.8,139.1,2000,8,17,0
168,1,8.9,137.8,2000,8,24,0
169,1,16,158,2000,9,2,0
170,1,16.8,116.9,2000,9,5,0
171,1,22,139.2,2000,9,14,0
172,1,15,177.1,2000,9,16,0
173,1,20.1,144,2000,10,21,0
174,1,9,136,2000,10,25,0
175,1,7.9,133.4,2000,10,31,0
176,1,7.6,130.4,2000,12,29,0
177,1,11.7,137.5,2001,6,19,0
178,1,15.4,117.2,2001,6,29,0
179,1,8.1,139.9,2001,6,30,0
180,1,24,151.8,2001,7,21,0
181,1,19.1,125.4,2001,7,22,0
182,1,14.5,133.8,2001,7,25,0
183,1,9.8,157.2,2001,7,31,0
184,1,18,145.7,2001,8,13,0
185,1,15.9,139.7,2001,8,26,0
186,1,19,155.6,2001,9,3,0
187,1,24.4,124.1,2001,9,5,0
188,1,20.6,138.9,2001,9,16,0
189,1,13.8,165.9,2001,9,17,0
190,1,19.4,124.5,2001,9,22,0
191,1,13.9,145.4,2001,10,3,0
192,1,16.4,131.2,2001,10,11,0
193,1,4.9,157,2001,10,17,0
194,1,9.9,129.7,2001,11,5,0
195,1,1.5,105.8,2001,12,26,0
196,1,4.4,162.6,2001,12,13,0
197,1,6.1,156,2002,2,26,0
198,1,3.5,149.9,2002,5,13,0
199,1,19.9,112.3,2002,6,3,0
200,1,4.2,154.6,2002,6,27,0
201,1,10,138.8,2002,6,26,0
202,1,10.8,160.4,2002,7,5,0
203,1,11.7,170.7,2002,7,14,0
204,1,23.8,142.2,2002,7,20,0
205,1,9.2,161.9,2002,8,10,0
206,1,14.7,163.5,2002,8,22,0
207,1,16.7,155.3,2002,8,28,0
208,1,14.9,161.6,2002,9,25,0
209,1,10.1,162.5,2002,10,7,0
210,1,16.6,168.3,2002,10,25,0
211,1,9.3,154,2002,11,19,0
212,1,5.5,165.8,2002,12,1,0
213,1,3,159.5,2003,4,8,0
214,1,4.6,148.2,2003,5,18,0
215,1,8.2,153.8,2003,6,7,0
216,1,10.5,135.7,2003,7,14,0
217,1,3.6,148.9,2003,7,15,0
218,1,12.8,129.3,2003,7,31,0
219,1,8.6,149,2003,7,31,0
220,1,7.4,154.4,2003,8,14,0
221,1,19,138.4,2003,8,27,0
222,1,10.3,149.5,2003,9,4,0
223,1,20,129.8,2003,9,17,0
224,1,15.1,138.9,2003,9,24,0
225,1,14.9,130.2,2003,10,18,0
226,1,17.2,146.4,2003,10,18,0
227,1,11.6,132.4,2003,10,29,0
228,1,11.2,139.5,2003,11,11,0
229,1,13.3,171.9,2003,11,14,0
230,1,6.7,153.2,2004,4,2,0
231,1,7.5,132,2004,5,13,0
232,1,15.5,116.4,2004,6,4,0
233,1,6.5,141.2,2004,6,5,0
234,1,6.9,139.3,2004,6,12,0
235,1,13.7,147.2,2004,6,22,0
236,1,11.6,153.3,2004,6,25,0
237,1,20.7,150.7,2004,7,24,0
238,1,16.7,166.1,2004,8,3,0
239,1,15.4,130.1,2004,8,7,0
240,1,15.3,142.9,2004,8,14,0
241,1,9.7,170.8,2004,8,17,0
242,1,9.2,144.7,2004,8,18,0
243,1,10.8,170.2,2004,8,26,0
244,1,13,151.8,2004,9,18,0
245,1,14.4,138,2004,10,1,0
246,1,8.2,156.3,2004,10,10,0
247,1,9.2,162.4,2004,10,14,0
248,1,11.1,131.8,2004,11,14,0
249,1,5.6,151.8,2004,11,28,0
250,1,5.2,152.1,2005,1,13,0
251,1,6,151.8,2005,3,12,0
252,1,7,150.5,2005,4,17,0
253,1,5.6,155.7,2005,5,27,0
254,1,21.9,154.2,2005,7,10,0
255,1,9.5,139.9,2005,7,30,0
256,1,14,130.6,2005,8,10,0
257,1,20.3,143.6,2005,8,18,0
258,1,21.5,155.7,2005,8,17,0
259,1,13.7,147,2005,8,25,0
260,1,15,154,2005,8,29,0
261,1,9.2,140,2005,9,5,0
262,1,16.2,124.5,2005,9,20,0
263,1,20.2,155,2005,9,19,0
264,1,19.1,145.5,2005,9,25,0
265,1,22.6,133.9,2005,10,10,0
266,1,12.9,116.2,2005,10,28,0
267,1,5.7,133.2,2005,11,12,0
268,1,8.8,136.8,2006,5,8,0
269,1,6.1,140.3,2006,6,29,0
270,1,8,150,2006,7,17,0
271,1,12.7,129.3,2006,7,28,0
272,1,7.6,150.9,2006,8,4,0
273,1,13.9,137.9,2006,9,9,0
274,1,19.3,155.6,2006,9,16,0
